SONG TITLE	ARTIST / COMPOSER	GENRE	YEAR
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett	Folk / Country	2003
Jolene	Dolly Parton	Pop / Country	1973
Just the Way You Are	Bruno Mars	Pop	2010
Just Us from Soul	Trent Reznor and Atticus Ross	Pop / Film	2020
Kashmir	Led Zeppelin	Rock	1975
Killing Me Softly	Roberta Flack	Soul / R&B	1973
L-O-V-E	Nat King Cole	Jazz	1947
La Vie en Rose	Edith Piaf	Jazz	1975
Landslide	Fleetwood Mac	Folk / Pop	2012
Latch	Disclosure ft. Sam Smith	Pop	1972
Lean on Me	Bill Withers	Soul / R&B	1991
Learning to Fly	Tom Petty	Rock	1966
Leaving on a Jet Plane	John Denver	Folk / Country	2013
Let It Go	Idina Menzel / Frozen	Pop / Film	1971
Let's Stay Together	Al Green	Soul / R&B	1978
Listen to Her Heart	Tom Petty	Rock	1999
Livin' La Vida Loca	Ricky Martin	Pop	1970
Long Long Time	Linda Ronstadt	Folk / Country	1965
Love Me Like You Do	Ellie Goulding	Pop	2015
Love Story	Taylor Swift	Pop	2008
Love Will Keep Us Alive	Eagles	Rock	1994
Lover	Taylor Swift	Pop	2019
Make You Feel My Love	Bob Dylan	Folk / Country	1997
Marry Me	Train	Pop	1977
Memories	Maroon 5	Pop	2010
The Merry-Go-Round of Life	Joe Hisaishi	Classical	2019
Moon River	Henry Mancini	Jazz	2004
Moondance	Van Morrison	Jazz / Pop	1961
My Girl	The Temptations	Soul / R&B	1970
My Heart Will Go On	Celine Dion	Pop / Film	1964
Never Gonna Give You Up	Rick Astley	Pop	1997
Ocean Eyes	Billie Eilish	Pop	1987
On the Road Again	Willie Nelson	Folk / Country	2016
Our Town	James Taylor	Folk / Country	1980
Pas de deux from The Nutcracker	Peter Ilyich Tchaikovsky	Classical 	1892
Peaceful Easy Feeling	Eagles	Rock	1972
Pencil Thin Moustache	Jimmy Buffett	Folk / Country	1972
Penny Lane	The Beatles	Rock	1974
Perfect	Ed Sheeran	Pop	1967
True Colors	Cyndi Lauper	Pop	2017
Under Pressure	Queen & David Bowie	Rock	1986
Uptown Funk	Bruno Mars ft. Mark Ronson	Pop	1981
Viva La Vida	Coldplay	Rock	2014
Walking on Sunshine	Katrina and the Waves	Pop	2008
We Found Love	Rihanna	Pop	1985
The Weight	The Band	Rock	2011
What a Wonderful World	Louis Armstrong	Jazz	1968
What the World Needs Now Is Love	Burt Bacharach	Jazz 	1967
Where the Streets Have No Name	U2	Rock	1965
Wild Horses	The Rolling Stones	Rock	1987
Wildest Dreams	Taylor Swift	Pop	1971
You Are the Best Thing	Ray LaMontagne	Pop / Country	2015
You Belong with Me	Taylor Swift	Pop	2008
You Raise Me Up	Josh Groban	Pop	2008
You're My Best Friend	Queen	Rock	2003
You've Got a Friend	James Taylor / Carole King	Folk / Rock	1971
Your Smiling Face	James Taylor	Folk / Rock	1977
