SONG TITLE	ARTIST / COMPOSER	GENRE	YEAR
La Vie en Rose	Edith Piaf	Chanson / Cabaret	1947
Landslide	Fleetwood Mac	Folk Rock / Soft Rock	1975
Latch	Disclosure ft. Sam Smith	Electronic / Pop	2012
Lean on Me	Bill Withers	Soul / R&B	1972
Learning to Fly	Tom Petty	Rock	1991
Leaving on a Jet Plane	John Denver	Folk / Country	1966
Let It Go	Idina Menzel / Frozen	Pop / Soundtrack	2013
Let's Stay Together	Al Green	Soul / R&B	1971
Listen to Her Heart	Tom Petty	Rock	1978
Livin' La Vida Loca	Ricky Martin	Latin Pop	1999
Long Long Time	Linda Ronstadt	Pop / Country	1970
L-O-V-E	Nat King Cole	Jazz / Pop Standards	1965
Love Me Like You Do	Ellie Goulding	Pop	2015
Love Story	Taylor Swift	Country Pop	2008
Love Will Keep Us Alive	Eagles	Soft Rock	1994
Lover	Taylor Swift	Pop	2019
Make You Feel My Love	Bob Dylan	Folk / Pop	1997
Margaritaville	Jimmy Buffett	Soft Rock / Country	1977
Marry Me	Train	Pop / Soft Rock	2010
Memories	Maroon 5	Pop	2019
The Merry-Go-Round of Life	Joe Hisaishi	Film Score / Classical	2004
Moon River	Henry Mancini	Jazz / Film Score	1961
Moondance	Van Morrison	Jazz / Folk Rock	1970
My Girl	The Temptations	Soul / Motown	1964
My Heart Will Go On	Celine Dion	Pop / Film Score	1997
Never Gonna Give You Up	Rick Astley	Pop / Dance	1987
Ocean Eyes	Billie Eilish	Indie Pop	2016
On the Road Again	Willie Nelson	Country	1980
Our Town	James Taylor	Folk / Soft Rock	2006
Pas de deux		Classical / Ballet	
Peaceful Easy Feeling	Eagles	Country Rock	1972
Pencil Thin Moustache	Jimmy Buffett	Soft Rock / Comedy	1974
Penny Lane	The Beatles	Classic Rock / Pop	1967
Perfect	Ed Sheeran	Pop	2017
True Colors	Cyndi Lauper	Pop	1986
Under Pressure	Queen & David Bowie	Classic Rock	1981
Uptown Funk	Bruno Mars ft. Mark Ronson	Funk / Pop	2014
Viva La Vida	Coldplay	Alternative Rock	2008
Walking on Sunshine	Katrina and the Waves	Pop / Rock	1985
We Found Love	Rihanna	Dance Pop / Electronic	2011
The Weight	The Band	Folk Rock / Country Rock	1968
What a Wonderful World	Louis Armstrong	Jazz / Pop Standards	1967
What the World Needs Now Is Love	Burt Bacharach	Pop Standards	1965
Where the Streets Have No Name	U2	Rock	1987
Wild Horses	The Rolling Stones	Country Rock	1971
Wildest Dreams	Taylor Swift	Pop	2015
You Are the Best Thing	Ray LaMontagne	Folk / Soul	2008
You Belong with Me	Taylor Swift	Country Pop	2008
You Raise Me Up	Josh Groban	Pop / Inspirational	2003
You're My Best Friend	Queen	Classic Rock / Pop	1975
You've Got a Friend	James Taylor / Carole King	Folk / Soft Rock	1971
Your Smiling Face	James Taylor	Soft Rock	1977
